Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
NINL,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
MKX,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
SERHL2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
EMILIN3,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ZNF491,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
GK5,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PM20D2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
RERGL,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
HOXA3,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
HOXA6,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
HOXA2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
HOXB4,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
HOXA4,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
CNGB3,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
HOXC5,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
SP9,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
CACNA1D,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ALX3,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
RAX2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
CYP1B1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
SAMD11,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
REM1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PTGIS,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
RAI2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
FAM198A,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
SCARA3,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
EVA1C,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
BOC,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PIAS3,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ZFYVE21,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
