Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
PCYOX1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DHRS12,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
USP53,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
NRIP1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
HIPK3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
KLF9,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
KLF15,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PLIN5,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
GPT2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
BNIP3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
GALNT2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ERRFI1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
SLC25A25,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ZBTB16,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
FKBP5,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PDK4,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
FOXO3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
GLUL,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DDIT4,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TSC22D3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TXNIP,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
FBXO31,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
RASL10B,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
MECR,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
RTN4,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
FEZ2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ANKRD40,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TCF15,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
NFU1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
VEGFB,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ITGA7,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PALMD,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
COPZ2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
MARCH2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
SCN4B,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TLE1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
BCL6,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PPM1B,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
FAM47E-STBD1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PPP1R1A,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PFKFB1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
WNT2B,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
NIPAL2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
VPS26B,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DGCR2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PIK3R2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
GAS6,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
SUN1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PCDHB13,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
CTTN,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
CDC42BPB,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
USP40,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PTPN14,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PTPN21,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
PLEKHA1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TANC1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
C11orf45,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ALG9,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
SLC27A3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
LSS,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
CSAD,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
NRBP2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TACR1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TEAD3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
MOB2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
SNX33,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
UNC45A,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TBC1D20,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
FBXO42,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
COL27A1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DLX5,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DVL3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
CSNK1E,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
RHBDF1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
GOLGA2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
LDLRAD3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
SLC16A14,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
EPHB3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ATP6V1C2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TNS4,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ARHGEF37,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
TNFRSF19,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
LYSMD4,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
GAL3ST4,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
C5orf38,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
IRX3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
IRX2,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
IRX5,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
ARHGEF19,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
JMJD7,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
RAB3D,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
LRRC8E,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
CLIC3,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
DUOX1,0,,17636,9,0.000510319800408256,MRE11A|NBN|H2AFX|RAD9A|HUS1|RAD50|RAD17|TOPBP1|RAD1
