Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
NTAN1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
MC5R,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
FGF1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
ESR2,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
PNLIPRP1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
LSAMP,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
OR6J1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
OR14A16,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
OR14C36,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT10,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
NEGR1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
GPC6,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
OR2AK2,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT4,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
LAPTM4B,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
OR1G1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
MBP,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TFPT,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
WIZ,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ETS1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
