,Peng2014.Upregulated,Peng2014.Downregulated,Slabicki.2010.RNAi,Adamson.2012.RNAi,RAD51.foci.impaired,RAD51.foci.retained,Matsukoa.2007.phosphoproteomics,Elia_2015_Acetylation.IR,Elia_2015_Ub.IR,Elia_2015_Ub_MG132.IR,Elia_phos.IR,Elia_Ub_nuclear.IR,Paulsen.2009.gamma.HA2X.increased,Paulsen.2009.gamma.HA2X.decreased,Lord.2008.PARP.inhibitor.sensitivity,Bartz.2006.cisplatin.EC50.mean.fold.change,NPP.clade.optimized.MRS,HPA.tissue.coexpression.MRS,MRE11A.CCI.Malovannaya.2011,BRCA2.CCI.Malovannaya.2011,RAD51C.CCI.Malovannaya.2011,BRCA1.CCI.Malovannaya.2011,LIG1.CCI.Malovannaya.2011,PCNA.CCI.Malovannaya.2011,FANCD2.CCI.Malovannaya.2011,FANCI.CCI.Malovannaya.2011,PALB2.CCI.Malovannaya.2011,RAD50.CCI.Malovannaya.2011
ABCA3,0,0,0,0,0,8317,0,0,0,0,0,0,1.878969702,0,0,0,0.024096386,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCA4,0,0,0,0,0,4208,0,0,0,0,0,0,0,0.545792359,0,0,0.024096386,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCA5,0,0,0,0,0,2582,0,0,0,0,0,0,0,0.551824105,0,0,0.016806723,0.010963525,0,0,0,0,0,0,0,0,0,0
ABCA6,0,0,0,0,0,4437,0,0,0,0,0,0,0,0.551824105,0,0,0.016806723,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCA7,0,0,0,0,0,8264,0,0,0,4.855041638,0,8.347034247,0,0.551824105,0,0,0.016806723,0.015205725,0,0,0,0,0,0,0,0,0,0
ABCA8,0,0,0,0,0,306,0,0,0,0,0,0,0,0.521665373,0,0,0.016806723,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,8643,0,0,0,0,0,0,0,0,0.551824105,0,0,0.016806723,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCB1,0,0,0,0,0,3184,0,0,8.730726413,4.551043119,0,8.207891242,0.184048958,0,0,0,0.02266289,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCB10,0,0,0,0,0,666,0,0,0,0,0,0,0,0.401030445,0,0,0.02266289,0.0078125,0,0,0,0,0,0,0,0,0,0
ABCB11,0,0,0,0,0,1612,0,0,0,0,0,0,0,0.304522502,0,0,0.1,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,4167,0,0,0,0,0,0,0,0.063252645,0,0,0.02266289,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCB5,0,0,0,0,1504,0,0,0,0,0,0,0,0,0.497538387,0,0,0.02266289,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCB6,0,0,0,0,0,3167,0,0,9.023738217,5.020948482,0,8.75605193,0,0.467379655,0,0,0.032258065,0.016451234,0,0,0,0,0,0,0,0,0,0
ABCB7,0,0,0,0,8075,0,0,0,0,0,0,0,0,0.244205038,0,0,0.012561061,0.00921659,0,0,0,0,0,0,0,0,0,0
ABCB8,0,0,0,0,2056,0,0,0,0,4.666176586,0,8.347034247,0,0.051189152,0,0,0.02266289,0.02027027,0,0,0,0,0,0,0,0,0,0
ABCB9,0,0,0,0,0,1541,0,0,0,4.624202416,0,8.735068947,0,0.352776473,0,0,0.02266289,0.010963525,0,0,0,0,0,0,0,0,0,0
ABCC1,0,0,0,0,0,3956,0,0,9.345854035,5.839273852,0,7.784651467,0.642461686,0,0,0,0.03030303,0.015205725,0,0,0,0,0,0,0,0,0,0
ABCC10,0,0,0,0,0,2207,0,0,0,4.842710729,0,8.347034247,0.38309659,0,0,0,0.032332564,0.007032349,0,0,0,0,0,0,0,0,0,0
ABCC11,0,0,0,0,8854,0,0,0,0,0,0,0,0.340874365,0,0,0,0.043478261,0.010963525,0,0,0,0,0,0,0,0,0,0
ABCC12,0,0,0,0,3651,0,0,0,0,0,0,0,0,0.533728866,0,0,0.043478261,0.010963525,0,0,0,0,0,0,0,0,0,0
ABCC2,0,0,0,0,4125,0,0,0,9.047236055,5.162119213,0,9.442729569,0,0.455316162,0,0,0.03030303,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCC3,0,0,0,0,2921,0,0,0,9.245024865,4.746461406,0,7.69308771,0,0.370871713,0,0,0.03030303,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCC4,0,0,0,0,0,6673,0,0,9.913288037,4.280886122,7.468902458,7.616601393,0,0.59404633,0,0,0.03030303,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCC5,0,0,0,0,7425,0,0,0,9.148932443,5.037645892,0,8.885709549,0,0.515633627,0,0,0.03030303,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCC6,0,0,0,0,6076,0,0,0,0,0,0,0,0,0.419125684,0,0,0.03030303,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,2739,0,0,0,0,0,0,0,0,0.461347909,0,0,0.03030303,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCC9,0,0,0,0,7097,0,0,0,0,0,0,0,0,0.352776473,0,0,0.03030303,0.007633588,0,0,0,0,0,0,0,0,0,0
ABCD1,0,0,0,0,8508,0,0,8.852764247,9.323645161,4.520694999,0,9.031879333,0,0.503570134,0,0,0.047058824,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCD2,0,0,0,0,0,185,0,0,0,0,0,0,0,0.588014584,0,0,0.047058824,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCD3,0,0,0,0,0,4,0,8.610952552,9.591934726,5.246414984,0,8.078415195,0,0.10547487,0,0,0.047058824,0.004482524,0,0,0,0,0,0,0,0,0,0
ABCD4,0,0,1,0,0,3181,0,0,0,0,0,0,0,0.467379655,0,0,0.047058824,0.007594937,0,0,0,0,0,0,0,0,0,0
ABCE1,0,0,0,0,4616,0,0,6.553331632,0.1,4.332025851,0,7.916752368,0,0.298490755,0,0,0.75,0.029810298,0,0,0,0,0,0,0,0,0,0
