,Peng2014.Upregulated,Peng2014.Downregulated,Slabicki.2010.RNAi,Adamson.2012.RNAi,RAD51.foci.impaired,RAD51.foci.retained,Matsukoa.2007.phosphoproteomics,Elia_2015_Acetylation.IR,Elia_2015_Ub.IR,Elia_2015_Ub_MG132.IR,Elia_phos.IR,Elia_Ub_nuclear.IR,Paulsen.2009.gamma.HA2X.increased,Paulsen.2009.gamma.HA2X.decreased,Lord.2008.PARP.inhibitor.sensitivity,Bartz.2006.cisplatin.EC50.mean.fold.change,NPP.clade.optimized.MRS,HPA.tissue.coexpression.MRS,MRE11A.CCI.Malovannaya.2011,BRCA2.CCI.Malovannaya.2011,RAD51C.CCI.Malovannaya.2011,BRCA1.CCI.Malovannaya.2011,LIG1.CCI.Malovannaya.2011,PCNA.CCI.Malovannaya.2011,FANCD2.CCI.Malovannaya.2011,FANCI.CCI.Malovannaya.2011,PALB2.CCI.Malovannaya.2011,RAD50.CCI.Malovannaya.2011
CXCL10,0,0,0,0,0,5437,0,0,0,0,0,0,0,0.521665373,0,0,0.008576329,0.004482524,0,0,0,0,0,0,0,0,0,0
CXCL11,0,0,0,0,0,972,0,0,0,0,0,0,0,0.033093913,0,0,0.008576329,0.004482524,0,0,0,0,0,0,0,0,0,0
CXCL12,0,0,0,0,0,3659,0,0,0,0,0,0,0.316747379,0,0,0,0.105263158,0.008645533,0,0,0,0,0,0,0,0,0,0
CXCL13,0,0,0,0,635,0,0,0,0,0,0,0,0,0.117538363,0,0,0.016666667,0.015205725,0,0,0,0,0,0,0,0,0,0
CXCL14,0,0,0,0,0,312,0,0,0,0,0,0,0,0.370871713,0,0,0.009345794,0.004482524,0,0,0,0,0,0,0,0,0,0
CXCL16,0,0,0,0,665,0,0,0,0,0,0,0,0.642461686,0,0,0,0.01980198,0.004482524,0,0,0,0,0,0,0,0,0,0
CXCL17,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0.068965517,0.00591716,0,0,0,0,0,0,0,0,0,0
CXCL2,0,0,0,0,0,3201,0,0,0,0,0,0,0.262461661,0,0,0,0.005777961,0.004482524,0,0,0,0,0,0,0,0,0,0
CXCL3,0,0,0,0,0,4589,0,0,0,0,0,0,0.582144222,0,0,0,0.005777961,0.004482524,0,0,0,0,0,0,0,0,0,0
CXCL5,0,0,0,0,0,5519,0,0,0,0,0,0,0,0.346744727,0,0,0.005777961,0.004482524,0,0,0,0,0,0,0,0,0,0
CXCL6,0,0,0,0,5899,0,0,0,0,0,0,0,0,0.563887598,0,0,0.005777961,0.005047319,0,0,0,0,0,0,0,0,0,0
CXCL8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014799154,0,0,0,0,0,0,0,0,0,0,0
CXCL9,0,0,0,0,0,6469,0,0,0,0,0,0,0.521826758,0,0,0,0.008576329,0.042402827,0,0,0,0,0,0,0,0,0,0
CXCR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011070111,0.007559395,0,0,0,0,0,0,0,0,0,0
CXCR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007751938,0.007559395,0,0,0,0,0,0,0,0,0,0
CXCR3,0,0,0,0,4421,0,0,0,0,0,0,0,0.974207739,0,0,0,0.009569378,0.014659018,0,0,0,0,0,0,0,0,0,0
CXCR4,0,0,0,0,8355,0,0,0,9.118770521,4.663060265,6.942537121,8.347034247,1.414525228,0,0,0,0.007462687,0.015205725,0,0,0,0,0,0,0,0,0,0
CXCR5,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0.025,0.015205725,0,0,0,0,0,0,0,0,0,0
CXCR6,0,0,0,0,0,1875,0,0,0,0,0,0,1.221509342,0,0,0,0.009511731,0.015205725,0,0,0,0,0,0,0,0,0,0
CXorf21,0,0,0,0,0,3502,0,0,0,0,0,0,0,0,0,0,0.117647059,0.015205725,0,0,0,0,0,0,0,0,0,0
CXorf23,0,0,0,0,0,8948,0,8.852764247,0,0,0,0,0,0,0,0,0.060606061,0.010416667,0,0,0,0,0,0,0,0,0,0
CXorf36,0,0,0,0,0,2159,0,0,0,0,0,0,0,0,0,0,0.009345794,0.004482524,0,0,0,0,0,0,0,0,0,0
CXorf38,0,0,0,0,0,8568,0,0,0,0,0,0,0,0,0,0,0.007751938,0.004823151,0,0,0,0,0,0,0,0,0,0
CXorf40A,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0.004482524,0,0,0,0,0,0,0,0,0,0
CXorf40B,0,0,0,0,5506,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0.004482524,0,0,0,0,0,0,0,0,0,0
CXorf49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025974026,0,0,0,0,0,0,0,0,0,0,0
CXorf56,0,0,0,0,925,0,0,8.852764247,9.342230389,4.644954395,0,8.347034247,0,0,0,0,0.044444444,0.011976048,0,0,0,0,0,0,0,0,0,0
CXorf57,0,0,0,0,0,8586,0,0,0,0,0,0,0,0,0,0,0.014084507,0.016451234,0,0,0,0,0,0,0,0,0,0
CXorf58,0,0,0,0,0,4829,0,0,0,0,0,0,0,0,0,0,0.013539652,0.010963525,0,0,0,0,0,0,0,0,0,0
CXorf65,0,0,0,0,0,5680,0,0,0,0,0,0,0,0,0,0,0.013539652,0.010963525,0,0,0,0,0,0,0,0,0,0
CXorf66,0,0,0,0,0,5676,0,0,0,0,0,0,0,0,0,0,0.01980198,0.010963525,0,0,0,0,0,0,0,0,0,0
CXorf67,0,0,0,0,7396,0,0,0,0,0,0,0,0,0,0,0,0.011070111,0.016451234,0,0,0,0,0,0,0,0,0,0
CXXC1,0,0,0,0,7056,0,0,8.319005035,0,0,0,8.780807848,0,0.093411377,0,0,0.022727273,0.015205725,0,0,0,0,0,0,0,0,0,0
CXXC4,0,0,0,0,8959,0,0,0,0,0,0,0,0.202144197,0,0,0,0.01,0.004482524,0,0,0,0,0,0,0,0,0,0
CXXC5,0,0,0,0,3374,0,0,8.852764247,0,0,0,0,0.105636255,0,0,0,0.007964602,0.006972112,0,0,0,0,0,0,0,0,0,0
CYB561,0,0,0,0,0,1694,0,0,8.798538573,4.615066827,0,8.402428568,0,0.437220923,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYB561A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010928962,0.020408163,0,0,0,0,0,0,0,0,0,0
CYB561D1,0,0,0,0,985,0,0,0,0,0,0,0,0,0.262300277,0,0,0.015267176,0.016129032,0,0,0,0,0,0,0,0,0,0
CYB561D2,0,0,0,0,0,124,0,0,0,0,0,0,0.039287044,0,0,0,0.015267176,0.004482524,0,0,0,0,0,0,0,0,0,0
CYB5A,0,0,0,0,7202,0,0,0,0,0,0,0,0,0,0,0,0.006702413,0.004482524,0,0,0,0,0,0,0,0,0,0
CYB5B,0,0,0,0,0,2009,0,0,0,0,0,0,0,0,0,0,0.007462687,0.004482524,0,0,0,0,0,0,0,0,0,0
CYB5D1,0,0,0,0,0,885,0,0,0,4.842710729,0,0,0,0,0,0,0.015957447,0.005319149,0,0,0,0,0,0,0,0,0,0
CYB5D2,0,0,0,0,2568,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0.010963525,0,0,0,0,0,0,0,0,0,0
CYB5R1,0,0,0,0,0,2611,0,8.852764247,0,0,0,8.347034247,0,0,0,0,0.017605634,0.00921659,0,0,0,0,0,0,0,0,0,0
CYB5R2,0,0,0,0,0,5915,0,0,0,0,0,0,0.159921972,0,0,0,0.017605634,0.010963525,0,0,0,0,0,0,0,0,0,0
CYB5R3,0,0,0,0,1525,0,0,0,8.863300554,4.973951997,0,8.717599059,0,0,0,0,0.017605634,0.004482524,0,0,0,0,0,0,0,0,0,0
CYB5R4,0,0,0,0,8491,0,0,0,0,0,0,0,0,0,0,0,0.016260163,0.029810298,0,0,0,0,0,0,0,0,0,0
CYB5RL,0,0,0,0,8767,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0.004482524,0,0,0,0,0,0,0,0,0,0
CYBA,0,0,0,0,7054,0,0,0,0,4.641366411,0,0,0.769128361,0,0,0,0.007633588,0.015205725,0,0,0,0,0,0,0,0,0,0
CYBB,0,0,0,0,4918,0,0,0,0,0,0,0,0.594207715,0,0,0,0.016348774,0.015205725,0,0,0,0,0,0,0,0,0,0
CYBRD1,0,0,0,0,0,6286,0,0,0,0,0,8.021195162,0,0.467379655,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYC1,0,0,0,0,1196,0,0,8.853299071,0,4.720953875,0,8.943757922,0,0.304522502,0,0,0.0625,0.00921659,0,0,0,0,0,0,0,0,0,0
CYCS,0,0,0,0,7590,0,0,0,0,0,0,0,0,0.286427263,0,0,0.012561061,0.004482524,0,0,0,0,0,0,0,0,0,0
CYFIP1,0,0,0,0,0,2272,0,8.852764247,8.594255935,4.488133033,0,8.347034247,0.153890226,0,0,0,0.051724138,0.004482524,0,0,0,0,0,0,0,0,0,0
CYFIP2,0,0,0,0,0,865,0,0,0,0,0,0,0,0.413093937,0,0,0.051724138,0.004482524,0,0,0,0,0,0,0,0,0,0
CYGB,0,0,0,0,1809,0,0,0,0,0,0,0,0,0.10547487,0,0,0.006967586,0.004482524,0,0,0,0,0,0,0,0,0,0
CYHR1,0,0,0,0,4345,0,0,0,0,0,0,0,0,0,0,0,0.006702413,0.010963525,0,0,0,0,0,0,0,0,0,0
CYLC1,0,0,0,0,0,8106,0,0,0,0,0,0,0,0.364839966,0,0,0.009708738,0.010963525,0,0,0,0,0,0,0,0,0,0
CYLC2,0,0,0,0,0,1017,0,0,0,0,0,0,0,0.328649488,0,0,0.006726457,0.010963525,0,0,0,0,0,0,0,0,0,0
CYLD,0,0,0,0,8707,0,0,0,8.648482641,0,0,8.806170294,0,0.42515743,0,0,0.034482759,0.007559395,0,0,0,0,0,0,0,0,0,0
CYP11A1,0,0,0,0,0,6548,0,0,0,4.842710729,0,0,0,0.485474894,0,0,0.048387097,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP11B1,0,0,0,0,0,8784,0,0,0,0,0,0,0.745001375,0,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP11B2,0,0,0,0,0,7870,0,0,0,0,0,0,0,0.533728866,0,0,0.009493671,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP17A1,0,0,0,0,2102,0,0,0,0,0,0,0,0,0.461347909,0,0,0.009966777,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP19A1,0,0,0,0,0,2270,0,0,0,0,0,0,0,0.467379655,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP1A1,0,0,0,0,0,6329,0,0,0,0,0,8.347034247,0.165953719,0,0,0,0.010928962,0.02027027,0,0,0,0,0,0,0,0,0,0
CYP1A2,0,0,0,0,732,0,0,0,0,0,0,0,0,0.165792334,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP1B1,0,0,0,0,0,3286,0,0,9.070462846,5.126376036,0,8.102747709,0,0.503570134,0,0,0.010928962,0.005319149,0,0,0,0,0,0,0,0,0,0
CYP20A1,0,0,0,0,0,2648,0,0,0,0,0,0,0.346906111,0,0,0,0.008474576,0.005747126,0,0,0,0,0,0,0,0,0,0
CYP21A2,0,0,0,0,6172,0,0,0,0,0,0,0,0,0.045157406,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP24A1,0,0,0,0,3738,0,0,0,0,0,0,0,0,0.322617741,0,0,0.015957447,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP26A1,0,0,0,0,1700,0,0,0,0,0,0,0,0,0.449284416,0,0,0.017241379,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP26B1,0,0,0,0,8982,0,0,0,0,0,0,0,1.016429964,0,0,0,0.010928962,0.010963525,0,0,0,0,0,0,0,0,0,0
CYP26C1,0,0,0,0,8639,0,0,0,0,0,0,0,0,0.50960188,0,0,0.021052632,0,0,0,0,0,0,0,0,0,0,0
CYP27A1,0,0,0,0,6369,0,0,0,0,0,0,0,0.389128336,0,0,0,0.015957447,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP27B1,0,0,0,0,0,1748,0,0,0,0,0,0,0,0.256268531,0,0,0.015957447,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP27C1,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2A13,0,0,0,0,0,8547,0,0,0,0,0,0,0,0.310554248,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2A6,0,0,0,0,5936,0,0,0,0,0,0,0,0,0.491506641,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2A7,0,0,0,0,2023,0,0,0,0,0,0,0,0,0.437220923,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2B6,0,0,0,0,0,1663,0,0,0,0,0,0,0,0.364839966,0,0,0.018867925,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2C18,0,0,0,0,7918,0,0,0,0,0,0,0,0,0.437220923,0,0,0.018867925,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2C19,0,0,0,0,0,7232,0,0,0,0,0,0,0,0.364839966,0,0,0.018867925,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2C8,0,0,0,0,0,3565,0,0,0,0,0,0,0.419287068,0,0,0,0.018867925,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2C9,0,0,0,0,0,2862,0,0,0,0,0,0,0.226271183,0,0,0,0.018867925,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2D6,0,0,0,0,0,2175,0,0,0,0,0,0,1.239604581,0,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2E1,0,0,0,0,0,5364,0,0,0,0,0,0,0,0.214046306,0,0,0.018867925,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2F1,0,0,0,0,0,1832,0,0,0,0,0,0,0,0.075316138,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2J2,0,0,0,0,0,7945,0,0,0,0,0,0,0,0.642300301,0,0,0.014799154,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2R1,0,0,0,0,0,7698,0,0,0,0,0,0,0,0.376903459,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2S1,0,0,0,0,7758,0,0,0,0,0,0,0,0.660556925,0,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2U1,0,0,0,0,1671,0,0,0,0,0,0,0,0.55198549,0,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP2W1,0,0,0,0,0,7406,0,0,0,0,0,0,0,0,0,0,0.012658228,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP39A1,0,0,0,0,6234,0,0,0,0,0,0,0,0,0.334681234,0,0,0.074074074,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP3A4,0,0,0,0,0,5433,0,0,0,0,0,0,0,0.27436377,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP3A43,0,0,0,0,0,3655,0,0,0,0,0,0,0,0.226109798,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP3A5,0,0,0,0,0,401,0,0,0,0,0,0,0.539921997,0,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP3A7,0,0,0,0,0,4646,0,0,0,0,0,0,0,0.286427263,0,0,0.010928962,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP3A7-CYP3A51P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010928962,0,0,0,0,0,0,0,0,0,0,0
CYP46A1,0,0,0,0,8171,0,0,0,0,0,0,0,0,0.008966927,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4A11,0,0,0,0,0,6293,0,0,0,0,0,0,0,0.214046306,0,0,0.142857143,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4A22,0,0,0,0,3091,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4B1,0,0,0,0,8373,0,0,0,0,0,0,0,0,0.352776473,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4F11,0,0,0,0,821,0,0,0,0,0,0,0,0,0.177855827,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4F12,0,0,0,0,0,98,0,0,0,0,0,0,0,0.316585995,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4F2,0,0,0,0,0,3902,0,0,0,0,0,0,0,0.569919344,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4F22,0,0,0,0,0,8870,0,0,0,0,0,0,0,0,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4F3,4.368530719,0,0,0,0,6191,0,0,0,0,0,0,0,0.177855827,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4F8,0,0,0,0,8182,0,0,0,0,0,0,0,0,0.280395516,0,0,0.007681366,0,0,0,0,0,0,0,0,0,0,0
CYP4V2,0,0,0,0,712,0,0,0,0,0,0,0,0,0.346744727,0,0,0.009009009,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP4X1,0,0,0,0,0,2384,0,0,0,0,0,0,0,0.473411402,0,0,0.007681366,0.005047319,0,0,0,0,0,0,0,0,0,0
CYP4Z1,0,0,0,0,0,2972,0,0,0,0,0,0,0,0.214046306,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP51A1,0,0,0,0,2597,0,0,0,9.544067085,4.785228579,0,8.964336236,0,0.153728841,0,0,0.00794702,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP7A1,0,0,0,0,5667,0,0,0,0,0,0,0,0,0.431189177,0,0,0.00896861,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP7B1,0,0,0,0,0,4797,0,0,0,0,0,0,0.003096565,0,0,0,0.008373206,0.004482524,0,0,0,0,0,0,0,0,0,0
CYP8B1,0,0,0,0,4176,0,0,0,0,0,0,0,0,0.244205038,0,0,0.025,0.004482524,0,0,0,0,0,0,0,0,0,0
CYR61,0,0,0,0,2805,0,0,0,0,0,0,8.347034247,0.14785848,0,0,0,0.007964602,0.004482524,0,0,0,0,0,0,0,0,0,0
CYS1,0,0,0,0,0,3732,0,0,0,0,0,0,0,0,0,0,0.04,0.004482524,0,0,0,0,0,0,0,0,0,0
CYSLTR1,0,0,0,0,0,3466,0,0,0,0,0,0,0.479604533,0,0,0,0.025974026,0.015205725,0,0,0,0,0,0,0,0,0,0
CYSLTR2,0,0,0,0,0,2681,0,0,0,0,0,0,0.696747404,0,0,0,0.025974026,0.004482524,0,0,0,0,0,0,0,0,0,0
CYSRT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0
CYSTM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010169492,0.004482524,0,0,0,0,0,0,0,0,0,0
CYTH1,0,0,0,0,0,8467,0,0,0,0,0,0,0,0,0,0,0.014457831,0.015205725,0,0,0,0,0,0,0,0,0,0
CYTH2,0,0,0,0,1652,0,0,0,0,0,0,0,0,0,0,0,0.014457831,0.016451234,0,0,0,0,0,0,0,0,0,0
CYTH3,0,0,0,0,2415,0,0,0,0,0,0,0,0,0,0,0,0.014457831,0.004482524,0,0,0,0,0,0,0,0,0,0
CYTH4,0,0,0,0,6899,0,0,0,0,0,0,0,0,0,0,0,0.014457831,0.015205725,0,0,0,0,0,0,0,0,0,0
CYTIP,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0.013550136,0.014659018,0,0,0,0,0,0,0,0,0,0
CYTL1,0,0,0,0,0,4295,0,0,0,0,0,0,0,0,0,0,0.029069767,0.004482524,0,0,0,0,0,0,0,0,0,0
CYYR1,0,0,0,0,0,558,0,0,0,0,0,0,0,0.039125659,0,0,0.09375,0.004482524,0,0,0,0,0,0,0,0,0,0
D2HGDH,0,0,0,0,5024,0,0,0,0,0,0,0,0,0,0,0,0.032786885,0.004482524,0,0,0,0,0,0,0,0,0,0
DAAM1,0,0,0,0,0,3868,0,0,0,0,0,8.305938598,0,0.467379655,0,0,0.021108179,0.004482524,0,0,0,0,0,0,0,0,0,0
DAAM2,0,0,0,0,0,5415,0,0,0,0,0,0,0.576112475,0,0,0,0.021108179,0.004482524,0,0,0,0,0,0,0,0,0,0
DAB1,0,0,0,0,0,5260,0,0,0,0,0,0,0,0.588014584,0,0,0.009478673,0.004482524,0,0,0,0,0,0,0,0,0,0
DAB2,0,0,0,0,4213,0,0,0,9.478805471,4.962698886,0,6.061532984,0,0.413093937,0,0,0.009708738,0.004482524,0,0,0,0,0,0,0,0,0,0
DAB2IP,0,0,0,0,7381,0,0,0,0,0,0,0,0.141826733,0,0,0,0.018691589,0.00921659,0,0,0,0,0,0,0,0,0,0
DACH1,0,0,0,0,0,2102,0,0,0,0,0,0,0.371033097,0,0,0,0.007580979,0.004482524,0,0,0,0,0,0,0,0,0,0
DACH2,0,0,0,0,0,2709,0,0,0,0,0,0,0.316747379,0,0,0,0.00795756,0.004482524,0,0,0,0,0,0,0,0,0,0
DACT1,0,0,0,0,0,3022,0,0,0,0,0,0,0,0.401030445,0,0,0.010169492,0.004482524,0,0,0,0,0,0,0,0,0,0
DACT2,0,0,0,0,6191,0,0,0,0,0,0,0,0.775160107,0,0,0,0.011070111,0.004482524,0,0,0,0,0,0,0,0,0,0
DACT3,0,0,0,0,0,2178,0,0,0,0,0,0,0,0,0,0,0.032258065,0.004482524,0,0,0,0,0,0,0,0,0,0
DAD1,0,0,0,0,4885,0,0,0,10.28235933,4.671944579,0,8.347034247,0,0.039125659,0,0,0.017605634,0.004482524,0,0,0,0,0,0,0,0,0,0
DAG1,0,0,0,0,2970,0,0,0,8.951105232,4.259769305,0,7.889974546,0,0.262300277,0,0,0.012145749,0.004482524,0,0,0,0,0,0,0,0,0,0
DAGLA,0,0,0,0,1888,0,0,0,0,0,0,0,0,0,0,0,0.015027322,0.004482524,0,0,0,0,0,0,0,0,0,0
DAGLB,0,0,0,0,0,1162,0,0,9.601420057,4.915897016,0,8.31383974,0,0,0,0,0.015027322,0.0078125,0,0,0,0,0,0,0,0,0,0
DALRD3,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0.048387097,0.012552301,0,0,0,0,0,0,0,0,0,0
DAND5,0,0,0,0,0,5797,0,0,0,0,0,0,0,0,0,0,0.009708738,0.004482524,0,0,0,0,0,0,0,0,0,0
DAO,0,0,0,0,0,2920,0,0,0,0,0,0,0.015160058,0,0,0,0.007633588,0.004482524,0,0,0,0,0,0,0,0,0,0
DAOA,0,0,0,0,0,8311,0,0,0,0,0,0,0,0.141665349,0,0,0.005588905,0,0,0,0,0,0,0,0,0,0,0
DAP,0,0,0,0,0,1329,0,0,0,0,0,0,0,0.093411377,0,0,0.005588905,0.004482524,0,0,0,0,0,0,0,0,0,0
DAP3,0,0,0,0,8531,0,0,8.824516144,0,0,0,0,0.304683886,0,0,0,0.052631579,0.004482524,0,0,0,0,0,3.63,0,0,6.18,0
DAPK1,2.574357992,0,0,0,0,651,0,0,0,0,0,0,0,0.268332023,0,0,0.025641026,0.004482524,0,0,0,0,0,0,0,0,0,0
DAPK2,0,0,0,0,0,6925,0,0,0,0,0,0,0,0.545792359,0,0,0.025641026,0.00921659,0,0,0,0,0,0,0,0,0,0
DAPK3,0,0,0,0,0,8634,0,0,9.165151508,4.735605938,0,0,0,0.42515743,0,0,0.025641026,0.004482524,0,0,0,0,0,0,0,0,0,0
DAPL1,0,0,0,0,0,4910,0,0,0,0,0,0,0,0,0,0,0.005588905,0.004482524,0,0,0,0,0,0,0,0,0,0
DAPP1,0,0,0,0,8027,0,0,0,0,0,0,0,0,0.286427263,0,0,0.02247191,0.015205725,0,0,0,0,0,0,0,0,0,0
DARS,0,0,0,0,0,4672,0,8.359414694,9.515372527,4.842710729,0,8.104198538,0,0.346744727,0,0,0.285714286,0.008645533,0,0,0,0,0,0,0,0,0,0
DARS2,0,0,0,0,0,7653,0,0,0,4.842710729,0,0,0,0,0,0,0.016949153,0.004482524,0,0,0,0,0,0,0,0,0,0
DAW1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0.010963525,0,0,0,0,0,0,0,0,0,0
DAXX,0,0,0,0,0,6209,2,8.487366415,0,0,7.259181602,7.727893808,0.208175944,0,0,0,0.005588905,0.029810298,0,0,0,0,0,0,0,0,0,0
DAZ1,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0.004482524,0,0,0,0,0,0,0,0,0,0
DAZ2,0,0,0,0,0,7925,0,0,0,0,0,0,0,0.527697119,0,0,0.01010101,0.004482524,0,0,0,0,0,0,0,0,0,0
DAZ3,0,0,0,0,0,8456,0,0,0,0,0,0,0,0.35880822,0,0,0.01010101,0.004482524,0,0,0,0,0,0,0,0,0,0
DAZ4,0,0,0,0,0,7100,0,0,0,0,0,0,0,0.44325267,0,0,0.01010101,0.004482524,0,0,0,0,0,0,0,0,0,0
DAZAP1,0,0,0,0,0,1309,2,11.85914909,9.10355699,0,0,8.34461781,0,0.292459009,0,0,0.012561061,0.010963525,0,0,0,0,0,0,0,0,0,0
DAZAP2,0,0,0,0,0,5975,0,0,9.327149934,4.927088655,0,8.45120991,0,0.364839966,0,0,0.02173913,0.004482524,0,0,0,0,0,0,0,0,0,0
DAZL,0,0,0,0,0,1212,0,0,0,0,0,0,0,0.10547487,0,0,0.01059322,0.010963525,0,0,0,0,0,0,0,0,0,0
DBF4,0,0,0,0,4388,0,2,0,0,0,0,0,0,0,0,0,0.1875,0.010963525,0,0,0,0,0,0,0,0,0,0
DBF4B,0,0,0,0,6021,0,0,0,0,0,0,0,0,0,0,0,0.033557047,0.010963525,0,0,0,0,0,0,0,0,0,0
DBH,0,0,0,0,0,1503,0,0,0,0,0,0,0,0.35880822,0,0,0.009615385,0.004482524,0,0,0,0,0,0,0,0,0,0
DBI,0,0,0,0,9055,0,0,0,0,0,0,0,0.895795036,0,0,0,0.006702413,0.004482524,0,0,0,0,0,0,0,0,0,0
DBN1,0,0,0,0,3984,0,0,8.552409169,0,0,7.409610605,5.418828795,0,0.117538363,0,0,0.010159652,0.007633588,0,0,0,0,0,0,0,0,0,0
DBNDD1,0,0,0,0,4858,0,0,0,0,0,0,0,0,0,0,0,0.012145749,0.00921659,0,0,0,0,0,0,0,0,0,0
DBNDD2,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0.011904762,0.004482524,0,0,0,0,0,0,0,0,0,0
DBNL,0,0,0,1,6929,0,0,8.961057365,9.215097588,0,0,10.02645817,0,0,0,0,0.010159652,0.004482524,0,0,0,0,0,0,0,0,0,0
DBP,0,0,0,0,0,1608,0,0,0,0,0,0,0.425318815,0,0,0,0.010050251,0.004482524,0,0,0,0,0,0,0,0,0,0
DBR1,0,0,0,0,6404,0,0,0,0,0,0,0,0.015160058,0,0,0,0.307692308,0.011976048,0,0,0,0,0,0,0,0,0,0
DBT,0,0,0,0,0,8195,0,8.484471448,0,0,0,0,0,0.352776473,0,0,0.018867925,0.004482524,0,0,0,0,0,0,0,0,0,0
DBX1,0,0,0,0,3550,0,0,0,0,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0,0,0,0,0,0,0
DBX2,0,0,0,0,0,3425,0,0,0,0,0,0,0,0,0,0,0.017094017,0.010963525,0,0,0,0,0,0,0,0,0,0
