BRCA1
RAD51
BRCA2
CHEK1
MRE11A
ATM
RAD51C
RPA1
ATR
PCNA
MSH6
MSH2
BRIP1
FANCD2
XRCC3
NBN
TP53BP1
BLM
FANCA
FEN1
POLD1
XRCC2
MLH1
BARD1
RAD54L
TOPBP1
RAD18
WRN
RAD17
RFC4
RPA2
FANCM
TOP2A
RFC3
H2AFX
PALB2
PRKDC
RAD51D
EXO1
MCM3
CHEK2
FANCI
DMC1
FANCG
MCM2
POLE
XPC
LIG1
RFC1
PMS2
SMC3
ERCC4
TP53
PLK1
ERCC6
RAD54B
ERCC5
MLH3
ERCC1
RBBP8
RFC5
MDC1
POLQ
XRCC5
MSH3
MCM7
UIMC1
REV3L
RAD52
HUS1
ATRX
RECQL
MCM6
RECQL5
RAD9A
RAD51B
USP1
TOP3A
RAD1
RFC2
MCM4
RPA3
PMS1
XRCC6
GEN1
TOP2B
MSH4
APEX1
UBE2N
ATRIP
TERF2
RAD50
DDB1
DNA2
FANCC
CDC6
MDM2
POLA1
CHD4
TPX2
KIF2C
FANCF
ERCC2
HDAC1
TRIM28
HELLS
PNKP
SMARCA2
HDAC2
SMC1A
MUS81
DDB2
CDK2
CLSPN
DHX9
ERCC3
POLH
TRIP12
EHMT1
SMARCA5
MCM5
TIMELESS
TRRAP
RUVBL2
SLX4
CCNB1
LIG4
RFWD3
POLE2
CHAF1A
FANCE
UBE2T
LIG3
SMC4
SPO11
UBE2A
POLA2
FAM175A
FANCL
UBC
RRM2
TOP3B
XPA
MSH5
BRCC3
CCNA2
MCM8
EME1
RNF8
WDHD1
XRCC1
APEX2
NTHL1
UBE2S
SMC2
RAD21
CENPE
RAD23B
RECQL4
SMARCA4
XAB2
TRIP13
POLR2B
HLTF
MND1
SUV39H1
PIF1
FAAP24
GTF2H1
KIF11
KAT5
AURKB
RBBP4
DNMT1
PARP1
SUPT5H
SIRT1
RTEL1
EZH2
CCNH
UPF1
USP7
OGG1
SMARCAL1
CHTF18
SMG1
DCLRE1C
KIF23
RNASEH2A
SHFM1
UNG
RNF20
UBB
BUB1
WHSC1
SMARCAD1
RNF168
WDR48
RAD51AP1
MAD2L2
TERF2IP
RAD9B
PAXIP1
FBXO18
SRCAP
VRK1
ZRANB3
CDC25A
APITD1
TRIM24
RNF2
RRM1
AURKA
EP400
SMC6
MMS19
PRPF8
TOPORS
KPNA2
POLD2
RUVBL1
SMARCA1
POLR2F
MNAT1
SON
HNRNPA2B1
CHAF1B
CDK7
RB1
CDC45
PSMC3IP
SLX1B
HDAC3
POLR2E
GTF2H3
TYMS
XRCC4
TERF1
CUL1
POLG
RBX1
CHD8
HDAC10
ESCO2
H2AFZ
CHD1L
POLR2G
SMARCC1
BAZ1B
TOP1
UBE2V2
TDP1
CDCA5
ANAPC5
CDC20
RAD23A
ERCC6L
CDC7
DUT
TCEA1
DBF4
POLR2I
XPO1
UBE2B
NUP205
RIF1
MAD2L1
POLK
SNRNP200
KIF22
PRIM1
DTL
SETX
DDX20
BUB1B
CDK1
NME1
TBP
MYC
CHD1
ANAPC1
DCLRE1B
APTX
POLB
PSMA1
MCM9
KIF4A
PPP4C
RANBP2
CTNNB1
TIPIN
SMC5
EP300
MTOR
DCLRE1A
CHD2
POT1
SF3B2
RAN
CREBBP
INO80
HNRNPC
CHD7
POLL
SMARCB1
RAD54L2
HELB
BIRC5
POLE4
HELQ
H2AFY
TTK
CDC27
NCL
HMGA1
CDK4
CENPF
DSCC1
HUS1B
ASF1B
TAF1
ORC1
ATAD5
CHD3
SUV39H2
EHMT2
CUL4A
CDC25C
BAZ2A
PPP2CA
CDC23
STAG2
ANAPC4
E2F1
ASPM
CDC5L
ASCC3
EFTUD2
CDKN1A
KIF18A
MBD1
CBX3
UBR5
POLR2D
FANCB
POLD4
CCNE1
GTF2H2
PSMD4
VCP
SUPT6H
PML
POLR2C
CHD6
POLI
RPS3
SLX1A
TK1
RHOA
POLM
ATF2
RPA4
ATAD2
SIN3A
DHX36
SHPRH
PDS5A
UBE2I
ESPL1
TTF2
SNW1
ORC2
KIF14
KNTC1
YWHAZ
CENPA
PSMD14
ERCC8
CTBP1
MCM10
MOV10
DOT1L
POLE3
BUB3
SF3A1
HDAC4
SSBP1
NEIL3
CDC16
MBD4
SF3B3
KIAA0101
ANAPC7
SF3B1
PSIP1
HSP90AB1
DDX17
STRA13
TDG
HSPD1
CHFR
NUP107
ECT2
GTF2H4
BRE
PIAS2
DICER1
RMI1
NCAPD3
PSMD3
REV1
SRRM2
SRPK1
RACGAP1
BAZ1A
NSUN2
VPRBP
YY1
ABL1
RBBP7
CDC25B
FIGN
CDCA8
NCBP1
NPAT
EXOSC10
ACTB
HUWE1
RBBP5
FAAP100
POLR3B
UHRF1
POLD3
YTHDC2
KIF2A
EEF1A1
SMC1B
KRAS
TAF5
DHX8
HIST3H3
BMI1
WRNIP1
DDX1
MYSM1
MPHOSPH8
SMARCC2
NOTCH1
ILF2
CCT5
MED6
KIF20A
RNF40
POLR1A
WDR33
TPR
PBK
NIPBL
MKI67
PRC1
PSMA5
SART1
VRK2
KIF20B
